2025-10-28 08:43:03 | INFO     | root | Logging configured
2025-10-28 08:43:03 | INFO     | EMCBot.Main | ==================================================
2025-10-28 08:43:03 | INFO     | EMCBot.Main | EMC Verification Bot Starting
2025-10-28 08:43:03 | INFO     | EMCBot.Main | ==================================================
2025-10-28 08:43:03 | INFO     | EMCBot | Loaded configuration from ./discadian/config.yaml
2025-10-28 08:43:03 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2025-10-28 08:43:03 | INFO     | EMCBot.Main | Config loaded from: /home/container/config.yaml
2025-10-28 08:43:03 | INFO     | EMCBot.Main | Token type: <class 'str'>
2025-10-28 08:43:03 | INFO     | EMCBot.Main | Token length: 72
2025-10-28 08:43:03 | INFO     | EMCBot.Main | Token starts with: MTM5ODkyMD...
2025-10-28 08:43:03 | ERROR    | EMCBot.Main | Please set your bot token in config.yaml!
2025-10-28 08:43:03 | INFO     | EMCBot | Shutting down bot...
2025-10-28 08:43:03 | INFO     | EMCBot | Bot shut down complete
2025-10-28 08:43:03 | INFO     | EMCBot.Main | Bot shut down
2025-10-29 05:40:17 | INFO     | root | Logging configured - log file: /home/container/discadian/logs/bot.log
2025-10-29 05:40:17 | INFO     | EMCBot.Main | ==================================================
2025-10-29 05:40:17 | INFO     | EMCBot.Main | EMC Verification Bot Starting
2025-10-29 05:40:17 | INFO     | EMCBot.Main | ==================================================
2025-10-29 05:40:17 | INFO     | EMCBot.Main | Script directory: /home/container/discadian
2025-10-29 05:40:17 | INFO     | EMCBot.Main | Working directory: /home/container/discadian
2025-10-29 05:40:17 | INFO     | EMCBot.Main | Loading config from: /home/container/discadian/config.yaml
2025-10-29 05:40:17 | INFO     | EMCBot | Loaded configuration from /home/container/discadian/config.yaml
2025-10-29 05:40:17 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2025-10-29 05:40:17 | INFO     | EMCBot.Main | Token type: <class 'str'>
2025-10-29 05:40:17 | INFO     | EMCBot.Main | Token length: 72
2025-10-29 05:40:17 | INFO     | EMCBot.Main | Token starts with: MTM5ODkyMD...
2025-10-29 05:40:17 | INFO     | EMCBot.Main | Starting bot...
2025-10-29 05:40:17 | INFO     | EMCBot | Setting up bot...
2025-10-29 05:40:17 | INFO     | EMCBot.Database | Initializing database at /home/container/discadian/database.db
2025-10-29 05:40:17 | INFO     | EMCBot.Database | Database schema initialized successfully
2025-10-29 05:40:17 | INFO     | EMCBot | Database initialized at: /home/container/discadian/database.db
2025-10-29 05:40:17 | INFO     | EMCBot | API client initialized
2025-10-29 05:40:17 | ERROR    | EMCBot | Failed to load cog cogs.verification: cannot import name 'is_main_nation' from 'utils' (/home/container/discadian/utils/__init__.py)
2025-10-29 05:40:17 | ERROR    | EMCBot | Failed to load cog cogs.admin: cannot import name 'is_main_nation' from 'utils' (/home/container/discadian/utils/__init__.py)
2025-10-29 05:40:17 | ERROR    | EMCBot | Failed to load cog cogs.auto_verify: cannot import name 'is_main_nation' from 'utils' (/home/container/discadian/utils/__init__.py)
2025-10-29 05:40:17 | ERROR    | EMCBot | Failed to load cog cogs.scanner: cannot import name 'is_main_nation' from 'utils' (/home/container/discadian/utils/__init__.py)
2025-10-29 05:40:17 | INFO     | EMCBot | Commands synced to guild 1419917974621519884
2025-10-29 05:40:20 | INFO     | EMCBot | Logged in as Discadian#4337 (ID: 1398920286208000093)
2025-10-29 05:40:20 | INFO     | EMCBot | Connected to guild: scio_org's server
2025-10-29 05:40:20 | INFO     | EMCBot | Bot is ready!
2025-10-29 05:42:17 | INFO     | root | Logging configured - log file: /home/container/discadian/logs/bot.log
2025-10-29 05:42:17 | INFO     | EMCBot.Main | ==================================================
2025-10-29 05:42:17 | INFO     | EMCBot.Main | EMC Verification Bot Starting
2025-10-29 05:42:17 | INFO     | EMCBot.Main | ==================================================
2025-10-29 05:42:17 | INFO     | EMCBot.Main | Script directory: /home/container/discadian
2025-10-29 05:42:17 | INFO     | EMCBot.Main | Working directory: /home/container/discadian
2025-10-29 05:42:17 | INFO     | EMCBot.Main | Loading config from: /home/container/discadian/config.yaml
2025-10-29 05:42:17 | INFO     | EMCBot | Loaded configuration from /home/container/discadian/config.yaml
2025-10-29 05:42:17 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2025-10-29 05:42:17 | INFO     | EMCBot.Main | Token type: <class 'str'>
2025-10-29 05:42:17 | INFO     | EMCBot.Main | Token length: 72
2025-10-29 05:42:17 | INFO     | EMCBot.Main | Token starts with: MTM5ODkyMD...
2025-10-29 05:42:17 | INFO     | EMCBot.Main | Starting bot...
2025-10-29 05:42:17 | INFO     | EMCBot | Setting up bot...
2025-10-29 05:42:17 | INFO     | EMCBot.Database | Initializing database at /home/container/discadian/database.db
2025-10-29 05:42:17 | INFO     | EMCBot.Database | Database schema initialized successfully
2025-10-29 05:42:17 | INFO     | EMCBot | Database initialized at: /home/container/discadian/database.db
2025-10-29 05:42:17 | INFO     | EMCBot | API client initialized
2025-10-29 05:42:17 | ERROR    | EMCBot | Failed to load cog cogs.verification: cannot import name 'create_purge_confirmation_embed' from 'utils' (/home/container/discadian/utils/__init__.py)
2025-10-29 05:42:17 | ERROR    | EMCBot | Failed to load cog cogs.admin: cannot import name 'create_purge_confirmation_embed' from 'utils' (/home/container/discadian/utils/__init__.py)
2025-10-29 05:42:17 | ERROR    | EMCBot | Failed to load cog cogs.auto_verify: cannot import name 'create_purge_confirmation_embed' from 'utils' (/home/container/discadian/utils/__init__.py)
